Numero,Totale,Prodotti,Data
9,2.0,[an12341-Patatine-2.0-1],2024-06-09T23:54
2,180.0,[5030917162572-Bo3-60.0-3],2024-06-10T00:05
3,180.0,[5030917162572-Bo3-60.0-3],2024-06-10T00:05
4,300.0,[5030917162572-Bo3-60.0-5],2024-06-10T00:06
5,2.0,[an12341-Patatine-2.0-1],2024-06-10T00:22
6,2.0,[an12341-Patatine-2.0-1],2024-06-10T00:22
7,184.0,[5030917162572-Bo3-60.0-3],2024-06-10T00:27
8,60.0,[5030917162572-Bo3-60.0-1],2024-06-10T00:31
9,184.0,[an12341-Patatine-2.0-2],2024-06-10T00:31
10,62.0,[an12341-Patatine-2.0-1];[5030917162572-Bo3-60.0-1],2024-06-10T00:35
11,205.0,[an12341-Patatine-2.0-1];[ab12345-Latte-143.0-1];[5030917162572-Bo3-60.0-1],2024-06-10T01:01
12,153.0,[123-ciao-51.0-3],2024-06-11T15:52
13,102.0,[123-ciao-51.0-2],2024-06-11T15:53
14,612.0,[123-ciao-51.0-12],2024-06-11T15:53
